session_id,user_id,session_start,session_end,duration_minutes,geo_velocity_flag,geo_velocity_detail,failed_login_count,max_failed_attempts_last_10min,device_change_flag,time_since_last_known_device_ip_minutes,transaction_amount_zscore,max_transaction_amount,total_transaction_amount,new_beneficiary_flag,transaction_velocity,weak_crypto_flag,crypto_deprecated_signal_count,login_event_count,successful_login_count,unique_geo_count,unique_device_count,session_is_attack_scenario,session_attack_types,anomaly_score,risk_score,is_model_anomaly
U1117_S00032,U1117,2026-01-10T20:56:00,2026-01-10T21:11:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,5.1929,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7668082925750941,100.0,True
U1079_S00081,U1079,2026-01-21T12:27:00,2026-01-21T12:42:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,17866.0,3.8789,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.779260040344192,100.0,True
U1017_S00024,U1017,2026-01-07T07:16:00,2026-01-07T07:31:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,4.4037,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636711134068581,100.0,True
U1091_S00005,U1091,2026-01-02T07:55:00,2026-01-02T08:12:00,17.0,1,Mumbai -> Kolkata in 2 min,0,0,1,0.0,2.9018,60000.0,240000.0,1,4,0,0,3,3,2,3,True,device_change_transaction_velocity,0.7876209647612602,100.0,True
U1070_S00063,U1070,2026-01-16T08:30:00,2026-01-16T08:41:00,11.0,0,,5,5,0,0.0,5.2941,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7689351129679286,100.0,True
U1108_S00057,U1108,2026-01-16T07:18:00,2026-01-16T07:35:00,17.0,0,,0,0,1,16008.0,1.6038,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7636023838757926,100.0,True
U1073_S00009,U1073,2026-01-02T17:24:00,2026-01-02T17:39:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,4.3979,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636711134068581,100.0,True
U1067_S00056,U1067,2026-01-16T07:16:00,2026-01-16T07:27:00,11.0,1,Delhi -> Chennai in 3 min,5,5,1,3472.0,5.302,150000.0,150000.0,1,1,0,0,7,2,2,2,True,credential_stuffing_new_beneficiary,0.8097063676417937,100.0,True
U1058_S00073,U1058,2026-01-20T09:50:00,2026-01-20T10:01:00,11.0,0,,5,5,0,0.0,3.8847,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7647843487060323,100.0,True
U1004_S00020,U1004,2026-01-05T15:10:00,2026-01-05T15:25:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,5.2872,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7668082925750941,100.0,True
U1092_S00082,U1092,2026-01-21T07:12:00,2026-01-21T07:27:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,14189.0,4.1463,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7812208107199808,100.0,True
U1035_S00059,U1035,2026-01-16T10:43:00,2026-01-16T10:58:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,4.3932,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636711134068581,100.0,True
U1011_S00056,U1011,2026-01-15T04:56:00,2026-01-15T05:13:00,17.0,0,,0,0,1,14134.0,1.528,60000.0,244549.51,1,5,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7640453490992556,100.0,True
U1050_S00026,U1050,2026-01-06T06:54:00,2026-01-06T07:33:00,39.0,1,Delhi -> Hyderabad in 32 min,5,5,1,1105.0,2.5775,150000.0,150000.0,1,1,0,0,7,2,2,2,True,credential_stuffing_new_beneficiary,0.7991232931050677,100.0,True
U1055_S00046,U1055,2026-01-12T20:19:00,2026-01-12T20:34:00,15.0,1,Kolkata -> Dubai in 7 min,0,0,1,1821.0,3.8873,175000.0,175000.0,0,1,1,1,2,2,2,2,True,weak_crypto_large_transfer,0.7776323895816304,100.0,True
U1003_S00081,U1003,2026-01-21T01:37:00,2026-01-21T02:03:00,26.0,1,Mumbai -> Berlin in 12 min,0,0,0,5814.0,5.0848,200000.0,201512.31,1,2,0,0,2,2,2,1,True,impossible_travel,0.7792823870780018,100.0,True
U1064_S00037,U1064,2026-01-09T09:04:00,2026-01-09T09:15:00,11.0,0,,5,5,0,0.0,5.2448,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7689351129679286,100.0,True
U1050_S00072,U1050,2026-01-17T19:28:00,2026-01-17T20:02:00,34.0,1,Mumbai -> Berlin in 12 min,0,0,0,5907.0,3.4622,200000.0,204442.46,1,2,0,0,2,2,2,1,True,impossible_travel,0.7734293865216934,100.0,True
U1078_S00020,U1078,2026-01-06T06:15:00,2026-01-06T06:26:00,11.0,0,,5,5,0,0.0,5.2555,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7689351129679286,100.0,True
U1007_S00015,U1007,2026-01-06T04:28:00,2026-01-06T04:43:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,4.4114,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636711134068581,100.0,True
U1094_S00069,U1094,2026-01-18T13:50:00,2026-01-18T14:05:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,7173.0,4.1355,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7786577170401151,100.0,True
U1038_S00005,U1038,2026-01-02T09:46:00,2026-01-02T10:15:00,29.0,1,Dubai -> Kolkata in 29 min,0,0,1,1306.0,3.5847,175000.0,175000.0,0,1,1,1,2,2,2,2,True,weak_crypto_large_transfer,0.774332274958878,100.0,True
U1042_S00038,U1042,2026-01-14T15:55:00,2026-01-14T16:10:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,5.2922,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7668082925750941,100.0,True
U1013_S00071,U1013,2026-01-18T16:46:00,2026-01-18T17:25:00,39.0,1,Hyderabad -> Mumbai in 22 min,0,0,1,4435.0,1.1607,60000.0,240000.0,1,4,0,0,3,3,2,3,True,device_change_transaction_velocity,0.7859479358168779,100.0,True
U1058_S00060,U1058,2026-01-16T21:40:00,2026-01-16T21:51:00,11.0,0,,5,5,0,0.0,3.8847,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7647843487060323,100.0,True
U1033_S00066,U1033,2026-01-16T21:37:00,2026-01-16T21:52:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,4.1926,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636711134068581,100.0,True
U1112_S00057,U1112,2026-01-17T02:32:00,2026-01-17T02:55:00,23.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,5.1891,200000.0,210047.35,1,3,0,0,2,2,2,1,True,impossible_travel,0.7751543777985708,100.0,True
U1106_S00049,U1106,2026-01-13T13:30:00,2026-01-13T13:54:00,24.0,1,Kolkata -> Delhi in 13 min,5,5,1,385.0,3.5136,150000.0,150000.0,1,1,0,0,7,2,2,2,True,credential_stuffing_new_beneficiary,0.8003279931173058,100.0,True
U1089_S00074,U1089,2026-01-19T21:13:00,2026-01-19T21:28:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,4.3159,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636711134068581,100.0,True
U1047_S00079,U1047,2026-01-21T16:40:00,2026-01-21T16:55:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,5.2908,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7668082925750941,100.0,True
U1053_S00003,U1053,2026-01-01T16:27:00,2026-01-01T16:42:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,4.1358,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636711134068581,100.0,True
U1081_S00057,U1081,2026-01-13T09:05:00,2026-01-13T09:16:00,11.0,0,,5,5,0,0.0,3.8199,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7647843487060323,100.0,True
U1102_S00072,U1102,2026-01-19T20:52:00,2026-01-19T22:03:00,71.0,1,Mumbai -> Berlin in 12 min,0,0,1,1292.0,3.8214,200000.0,200000.0,1,1,0,0,4,4,3,3,True,impossible_travel,0.786372336520136,100.0,True
U1008_S00063,U1008,2026-01-16T12:51:00,2026-01-16T13:02:00,11.0,0,,5,5,0,0.0,5.3027,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7689351129679286,100.0,True
U1013_S00024,U1013,2026-01-07T03:49:00,2026-01-07T04:17:00,28.0,1,Mumbai -> Berlin in 12 min,0,0,1,2518.0,4.196,200000.0,200000.0,1,1,0,0,3,3,3,2,True,impossible_travel,0.785188643369857,100.0,True
U1006_S00076,U1006,2026-01-19T07:11:00,2026-01-19T07:22:00,11.0,0,,5,5,0,0.0,5.2897,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7689351129679286,100.0,True
U1012_S00045,U1012,2026-01-11T03:38:00,2026-01-11T03:53:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,971.0,3.9641,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7638187532264235,100.0,True
U1119_S00061,U1119,2026-01-17T01:02:00,2026-01-17T01:13:00,11.0,1,Delhi -> Bengaluru in 1 min,5,5,1,1525.0,5.2021,150000.0,150000.0,1,1,0,0,7,2,2,2,True,credential_stuffing_new_beneficiary,0.8073527560683647,100.0,True
U1110_S00047,U1110,2026-01-10T10:53:00,2026-01-10T11:08:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,4.1357,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7636711134068581,100.0,True
U1057_S00009,U1057,2026-01-02T23:08:00,2026-01-02T23:19:00,11.0,0,,5,5,0,0.0,3.5532,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7633073692452027,99.93,True
U1076_S00081,U1076,2026-01-20T20:20:00,2026-01-20T20:31:00,11.0,0,,5,5,0,0.0,3.5445,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7633073692452027,99.93,True
U1049_S00037,U1049,2026-01-09T04:06:00,2026-01-09T04:17:00,11.0,0,,5,5,0,0.0,3.5332,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7633073692452027,99.93,True
U1089_S00072,U1089,2026-01-19T15:08:00,2026-01-19T15:19:00,11.0,0,,5,5,0,0.0,3.1795,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7630123158170671,99.87,True
U1029_S00023,U1029,2026-01-04T22:17:00,2026-01-04T22:28:00,11.0,0,,5,5,0,0.0,3.0956,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7630123158170671,99.87,True
U1029_S00063,U1029,2026-01-16T12:49:00,2026-01-16T13:00:00,11.0,0,,5,5,0,0.0,3.0956,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7630123158170671,99.87,True
U1035_S00028,U1035,2026-01-08T15:49:00,2026-01-08T16:00:00,11.0,0,,5,5,0,0.0,3.2803,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7628648318751535,99.83,True
U1025_S00002,U1025,2026-01-01T11:22:00,2026-01-01T11:33:00,11.0,0,,5,5,0,0.0,3.2866,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7628648318751535,99.83,True
U1007_S00055,U1007,2026-01-15T09:20:00,2026-01-15T09:31:00,11.0,0,,5,5,0,0.0,3.2854,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7628648318751535,99.83,True
U1017_S00069,U1017,2026-01-19T22:45:00,2026-01-19T22:56:00,11.0,0,,5,5,0,0.0,3.2773,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7628648318751535,99.83,True
U1073_S00005,U1073,2026-01-02T07:39:00,2026-01-02T07:50:00,11.0,0,,5,5,0,0.0,3.2795,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7628648318751535,99.83,True
U1028_S00024,U1028,2026-01-05T04:21:00,2026-01-05T04:32:00,11.0,0,,5,5,0,0.0,2.9388,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7625699495080785,99.77,True
U1079_S00030,U1079,2026-01-09T02:26:00,2026-01-09T02:41:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,3.8789,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7615766168151854,99.54,True
U1050_S00044,U1050,2026-01-10T05:16:00,2026-01-10T05:27:00,11.0,0,,5,5,0,0.0,2.5775,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7614133937771426,99.5,True
U1118_S00021,U1118,2026-01-06T09:33:00,2026-01-06T09:44:00,11.0,0,,5,5,0,0.0,2.6005,150000.0,150000.0,1,1,0,0,6,1,1,1,True,credential_stuffing_new_beneficiary,0.7614133937771426,99.5,True
U1118_S00043,U1118,2026-01-13T16:32:00,2026-01-13T16:47:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,0.0,3.4883,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7593715054628033,99.04,True
U1118_S00044,U1118,2026-01-13T20:16:00,2026-01-13T20:31:00,15.0,1,Mumbai -> Berlin in 12 min,0,0,0,209.0,3.4883,200000.0,200000.0,1,1,0,0,2,2,2,1,True,impossible_travel,0.7592247252592852,99.01,True
U1110_S00065,U1110,2026-01-15T09:50:00,2026-01-15T10:07:00,17.0,0,,0,0,1,7122.0,1.1978,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7575742014777384,98.64,True
U1007_S00031,U1007,2026-01-09T22:41:00,2026-01-09T22:58:00,17.0,0,,0,0,1,5398.0,1.2586,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7530906277399395,97.62,True
U1074_S00080,U1074,2026-01-20T02:31:00,2026-01-20T02:39:00,8.0,0,,0,0,0,12872.0,3.889,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7504013501646993,97.02,True
U1055_S00072,U1055,2026-01-18T05:21:00,2026-01-18T05:29:00,8.0,0,,0,0,0,7727.0,3.8873,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7496763987379587,96.85,True
U1053_S00035,U1053,2026-01-10T14:45:00,2026-01-10T14:53:00,8.0,0,,0,0,0,12843.0,3.6107,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7489521476758575,96.69,True
U1092_S00042,U1092,2026-01-11T10:35:00,2026-01-11T10:43:00,8.0,0,,0,0,0,10943.0,3.6182,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7488073814476407,96.66,True
U1033_S00086,U1033,2026-01-22T00:11:00,2026-01-22T00:28:00,17.0,0,,0,0,1,3867.0,1.2233,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7471603935257642,96.28,True
U1051_S00086,U1051,2026-01-22T03:13:00,2026-01-22T03:30:00,17.0,0,,0,0,1,2313.0,2.3248,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7470583376856091,96.26,True
U1088_S00016,U1088,2026-01-04T21:01:00,2026-01-04T21:18:00,17.0,0,,0,0,1,2354.0,1.4764,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7460481224418899,96.03,True
U1082_S00040,U1082,2026-01-10T14:01:00,2026-01-10T14:36:00,35.0,0,,0,0,1,0.0,2.866,60000.0,244511.08,1,5,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7448675754079387,95.76,True
U1000_S00014,U1000,2026-01-05T19:23:00,2026-01-05T20:06:00,43.0,0,,0,0,1,0.0,2.9208,60000.0,244563.45,1,5,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7448675754079387,95.76,True
U1085_S00003,U1085,2026-01-02T11:18:00,2026-01-02T11:51:00,33.0,0,,0,0,1,0.0,2.8856,60000.0,242156.32,1,5,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7448675754079387,95.76,True
U1115_S00051,U1115,2026-01-16T00:51:00,2026-01-16T01:25:00,34.0,0,,0,0,1,0.0,2.8901,60000.0,240943.11,1,5,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7442918355061193,95.63,True
U1013_S00045,U1013,2026-01-11T10:08:00,2026-01-11T10:16:00,8.0,0,,0,0,0,6111.0,3.654,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7439019436979551,95.55,True
U1093_S00030,U1093,2026-01-09T08:42:00,2026-01-09T08:59:00,17.0,0,,0,0,1,0.0,2.8872,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7432853612857345,95.41,True
U1024_S00035,U1024,2026-01-10T00:29:00,2026-01-10T00:46:00,17.0,0,,0,0,1,0.0,2.9356,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7432853612857345,95.41,True
U1059_S00022,U1059,2026-01-07T00:58:00,2026-01-07T01:15:00,17.0,0,,0,0,1,0.0,2.932,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7432853612857345,95.41,True
U1062_S00062,U1062,2026-01-16T19:43:00,2026-01-16T20:00:00,17.0,0,,0,0,1,0.0,2.9164,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7432853612857345,95.41,True
U1113_S00020,U1113,2026-01-04T20:37:00,2026-01-04T20:54:00,17.0,0,,0,0,1,0.0,2.887,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7432853612857345,95.41,True
U1027_S00007,U1027,2026-01-02T23:07:00,2026-01-02T23:24:00,17.0,0,,0,0,1,0.0,2.9142,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7432853612857345,95.41,True
U1065_S00057,U1065,2026-01-15T06:07:00,2026-01-15T06:24:00,17.0,0,,0,0,1,0.0,2.9294,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7432853612857345,95.41,True
U1066_S00001,U1066,2026-01-01T09:28:00,2026-01-01T09:45:00,17.0,0,,0,0,1,0.0,2.9475,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7432853612857345,95.41,True
U1054_S00060,U1054,2026-01-16T10:09:00,2026-01-16T10:26:00,17.0,0,,0,0,1,0.0,2.9437,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7432853612857345,95.41,True
U1051_S00079,U1051,2026-01-20T12:23:00,2026-01-20T12:40:00,17.0,0,,0,0,1,0.0,2.3248,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.741419804330303,94.99,True
U1046_S00041,U1046,2026-01-12T23:53:00,2026-01-13T00:19:00,26.0,1,Singapore -> Kolkata in 26 min,1,1,1,68.0,0.0,0.0,0.0,0,0,1,1,2,1,2,2,False,normal,0.7402655417004373,94.72,True
U1049_S00049,U1049,2026-01-12T16:08:00,2026-01-12T16:25:00,17.0,0,,0,0,1,0.0,1.391,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7392263234541683,94.49,True
U1003_S00061,U1003,2026-01-17T00:26:00,2026-01-17T00:43:00,17.0,0,,0,0,1,0.0,1.4866,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7392263234541683,94.49,True
U1011_S00023,U1011,2026-01-05T09:05:00,2026-01-05T09:22:00,17.0,0,,0,0,1,0.0,1.528,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7392263234541683,94.49,True
U1012_S00041,U1012,2026-01-10T11:10:00,2026-01-10T11:27:00,17.0,0,,0,0,1,0.0,1.1594,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7365162012524165,93.88,True
U1094_S00030,U1094,2026-01-10T22:05:00,2026-01-10T22:22:00,17.0,0,,0,0,1,0.0,1.2092,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7365162012524165,93.88,True
U1092_S00011,U1092,2026-01-03T19:55:00,2026-01-03T20:12:00,17.0,0,,0,0,1,0.0,1.1891,60000.0,240000.0,1,4,0,0,2,2,1,2,True,device_change_transaction_velocity,0.7365162012524165,93.88,True
U1049_S00058,U1049,2026-01-15T04:37:00,2026-01-15T04:45:00,8.0,0,,0,0,0,3612.0,4.1282,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7358731135290549,93.73,True
U1056_S00003,U1056,2026-01-01T22:03:00,2026-01-01T22:11:00,8.0,0,,0,0,0,0.0,5.2601,175000.0,180756.42,0,2,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7357525733751326,93.7,True
U1094_S00044,U1094,2026-01-13T14:09:00,2026-01-13T14:17:00,8.0,0,,0,0,0,3827.0,3.613,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7323253953663668,92.93,True
U1033_S00073,U1033,2026-01-19T07:36:00,2026-01-19T07:44:00,8.0,0,,0,0,0,3464.0,3.6624,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7316179068469327,92.77,True
U1083_S00003,U1083,2026-01-01T14:06:00,2026-01-01T14:33:00,27.0,1,Bengaluru -> Dubai in 9 min,0,0,1,70.0,-0.5469,2227.56,2227.56,0,1,1,1,2,2,2,2,False,normal,0.7282375833777177,92.01,True
U1066_S00080,U1066,2026-01-21T12:35:00,2026-01-21T13:10:00,35.0,1,Delhi -> Singapore in 25 min,1,1,1,1313.0,0.2959,7965.25,7965.25,0,1,0,0,2,1,2,2,False,normal,0.7243694105676065,91.13,True
U1109_S00014,U1109,2026-01-06T19:23:00,2026-01-06T19:31:00,8.0,0,,0,0,0,0.0,5.1587,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7237637550902816,91.0,True
U1087_S00003,U1087,2026-01-03T01:22:00,2026-01-03T01:30:00,8.0,0,,0,0,0,0.0,5.2008,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7237637550902816,91.0,True
U1048_S00072,U1048,2026-01-18T09:23:00,2026-01-18T09:31:00,8.0,0,,0,0,0,0.0,5.2873,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7237637550902816,91.0,True
U1021_S00037,U1021,2026-01-08T03:59:00,2026-01-08T04:07:00,8.0,0,,0,0,0,0.0,5.2894,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7237637550902816,91.0,True
U1046_S00050,U1046,2026-01-14T21:07:00,2026-01-14T21:15:00,8.0,0,,0,0,0,0.0,5.2928,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7237637550902816,91.0,True
U1095_S00068,U1095,2026-01-18T17:19:00,2026-01-18T17:27:00,8.0,0,,0,0,0,0.0,5.1899,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7237637550902816,91.0,True
U1107_S00044,U1107,2026-01-12T17:53:00,2026-01-12T18:01:00,8.0,0,,0,0,0,0.0,5.2092,175000.0,175000.0,0,1,1,1,1,1,1,1,True,weak_crypto_large_transfer,0.7237637550902816,91.0,True
